y_test;predictions
0;0.020726344
1;0.20141752
0;0.49442008
1;0.92733383
0;0.78674966
0;0.089986704
1;0.6118487
0;0.21821597
1;0.6138037
0;0.13602594
0;0.16289529
0;0.8804757
0;0.12727197
0;0.48057562
1;0.79765916
1;0.8586088
1;0.9621718
0;0.062309403
1;0.9985469
0;0.36741763
0;0.24740282
0;0.09730561
1;0.33020335
1;0.4256793
1;0.9992391
0;0.28401336
1;0.9835714
1;0.74708354
0;0.62408906
1;0.98348397
0;0.15933716
1;0.13733903
0;0.69442654
1;0.8254572
0;0.07897615
1;0.85814476
1;0.98983747
0;0.17826183
0;0.21927477
0;0.4660053
0;0.00068506325
0;0.16974571
1;0.5506234
1;0.96746093
1;0.9938877
0;0.12493843
1;0.18133345
0;0.26010656
0;0.08614889
0;0.8877677
1;0.99599624
1;0.97461116
0;0.05576495
0;0.13528648
1;0.4701306
0;0.16391002
1;0.16641884
1;0.7087658
1;0.99502426
0;0.3958989
0;0.063271455
1;0.3743673
1;0.9982665
1;0.9350462
1;0.95924556
1;0.99985504
0;0.080400184
0;0.9891038
0;0.22272387
1;0.99860495
1;0.41624644
1;0.7845079
0;0.4743694
1;0.9541638
0;0.18220378
0;0.54195946
0;0.17340085
1;0.99796355
0;0.42340344
0;0.14610788
0;0.7105338
1;0.98890406
1;0.9744295
1;0.94797105
1;0.9945798
0;0.35580277
1;0.2419555
0;0.9385985
1;0.899208
1;0.9934002
0;0.2432975
1;0.50381505
1;0.9837805
0;0.5083794
0;0.44605926
1;0.99742055
0;0.43580642
0;0.16407935
1;0.94906104
1;0.999762
1;0.7281029
1;0.9953302
1;0.99723345
1;0.33196598
0;0.15276115
1;0.99858606
1;0.99870276
1;0.9214979
1;0.94916165
0;0.37843254
1;0.955493
0;0.16199355
0;0.522536
0;0.068167664
0;0.37596264
0;0.095740035
0;0.10717967
0;0.32005498
1;0.99206126
0;0.17695682
1;0.9976037
1;0.93018425
0;0.22086072
1;0.22425574
0;0.04024949
0;0.7796923
1;0.9977329
0;0.8389899
1;0.8610439
1;0.9981463
1;0.5158741
1;0.99221545
0;0.377398
1;0.8894475
1;0.9883753
1;0.99984384
1;0.89912915
1;0.9849857
1;0.8368036
0;0.18161236
0;0.0104189925
1;0.9994822
1;0.6632839
0;0.6678812
0;0.52776253
0;0.055872425
1;0.35039598
1;0.46603802
1;0.72761464
1;0.1323015
1;0.90482086
1;0.9697921
1;0.6402196
0;0.17324764
1;0.992804
1;0.9991015
1;0.06164938
1;0.9649339
0;0.5876376
0;0.2686971
0;0.27846217
0;0.33398205
1;0.70643795
0;0.12570195
0;0.07377562
1;0.97558653
1;0.96350324
0;0.20584856
1;0.9909636
1;0.61079156
1;0.4711075
1;0.449374
0;0.07896584
1;0.9601743
1;0.99885297
0;0.36726394
0;0.12117853
0;0.11215539
1;0.99952126
1;0.8372817
1;0.9644493
0;0.24041417
1;0.37438726
0;0.2685001
1;0.991736
0;0.296829
0;0.35939994
0;0.35486144
0;0.7950097
1;0.85330087
1;0.9996381
0;0.22908834
1;0.60826904
1;0.8807764
1;0.516368
1;0.88453656
1;0.8938541
0;0.116039
1;0.17235278
0;0.12845024
1;0.9982717
1;0.9060596
0;0.5580581
1;0.52122515
1;0.9995265
1;0.99455005
1;0.9996113
1;0.99264985
1;0.21132435
0;0.29598144
1;0.9014017
0;0.6461603
0;0.48521078
1;0.76139617
0;0.9295519
0;0.74378866
0;0.36292964
1;0.99619776
1;0.73231804
0;0.21920966
1;0.9971757
0;0.18406458
1;0.70039594
1;0.39568532
1;0.61062574
