y_test;predictions
0;0.34112918
1;0.10742646
0;0.6802064
1;0.93512404
0;0.7924743
0;0.29888308
1;0.28610867
0;0.15922603
1;0.63267624
0;0.08573172
0;0.12351095
0;0.49245614
0;0.17907059
0;0.14139801
1;0.34063372
1;0.8518927
1;0.77973485
0;0.1824634
1;0.9152992
0;0.32143787
0;0.057729214
0;0.18163013
1;0.40193957
1;0.726641
1;0.9484369
0;0.07099772
1;0.7907755
1;0.25429845
0;0.52260035
1;0.94674194
0;0.099843815
1;0.28245467
0;0.33265272
1;0.92292595
0;0.3940247
1;0.13227056
1;0.9492916
0;0.2465255
0;0.37153837
0;0.20024586
0;0.18404289
0;0.16900398
1;0.5127128
1;0.97222507
1;0.9553189
0;0.2813058
1;0.6784567
0;0.10882791
0;0.07602815
0;0.32672918
1;0.9633417
1;0.93344545
0;0.24370374
0;0.32847363
1;0.45406508
0;0.09137236
1;0.780589
1;0.2604221
1;0.9654934
0;0.0027275754
0;0.1649131
1;0.7245294
1;0.95668685
1;0.97495234
1;0.9467271
1;0.97881114
0;0.31371164
0;0.9679661
0;0.24597748
1;0.91427636
1;0.38704804
1;0.7616342
0;0.6334926
1;0.7322326
0;0.4264779
0;0.43235147
0;0.08591109
1;0.81065345
0;0.20244554
0;0.1364225
0;0.43828627
1;0.97088695
1;0.77939576
1;0.9674406
1;0.9375079
0;0.47035447
1;0.6856457
0;0.46147132
1;0.9655944
1;0.97547
0;0.054798283
1;0.9395129
1;0.83639675
0;0.23498386
0;0.073997416
1;0.8903847
0;0.17131618
0;0.29597357
1;0.8801385
1;0.9818295
1;0.18471041
1;0.95112354
1;0.92339116
1;0.07053905
0;0.24668337
1;0.964048
1;0.93314713
1;0.9450944
1;0.29063568
0;0.00027422397
1;0.8882938
0;0.29864627
0;0.4917463
0;0.2825344
0;0.28155503
0;0.0017529699
0;0.02589186
0;0.07480274
1;0.80869144
0;0.1961166
1;0.7881101
1;0.9154616
0;0.029499557
1;0.14481735
0;0.3185716
0;0.25917146
1;0.9983773
0;0.74346566
1;0.8210418
1;0.9761898
1;0.42232224
1;0.9412526
0;0.37348795
1;0.96575266
1;0.97617155
1;0.9683728
1;0.62700486
1;0.9728827
1;0.2338105
0;0.57156974
0;0.16472381
1;0.9561709
1;0.45103383
0;0.84417176
0;0.2995321
0;0.27542394
1;0.7567165
1;0.5142896
1;0.86969876
1;0.10697973
1;0.91713154
1;0.96436477
1;0.5328134
0;0.04488846
1;0.9898078
1;0.62076044
1;0.5204538
1;0.87451607
0;0.13600935
0;0.0788333
0;0.13138041
0;0.14275648
1;0.87253016
0;0.23757909
0;0.31088218
1;0.6235929
1;0.90342945
0;0.4053029
1;0.96941054
1;0.30282357
1;0.7537573
1;0.524154
0;0.15232223
1;0.6302573
1;0.9162544
0;0.12507932
0;0.1025883
0;0.20394646
1;0.9962053
1;0.7415673
1;0.96355945
0;0.20810667
1;0.7365602
0;0.27490956
1;0.9829033
0;0.20600465
0;0.33995405
0;0.29192176
0;0.088830344
1;0.29637417
1;0.99706167
0;0.30915973
1;0.83229864
1;0.948887
1;0.3624259
1;0.7632136
1;0.14764123
0;0.09665565
1;0.050143193
0;0.5019475
1;0.945415
1;0.96943617
0;0.0017296851
1;0.8653031
1;0.94096947
1;0.9070708
1;0.8774367
1;0.86103106
1;0.034296807
0;0.25268272
1;0.77967554
0;0.27495018
0;0.3240728
1;0.39417958
0;0.33619386
0;0.92260706
0;0.3086437
1;0.9597463
1;0.43700573
0;0.10743908
1;0.8807999
0;0.014063118
1;0.37357718
1;0.30034354
1;0.5515673
