Modelo|y_test|predictions
Modelo 1: VGG Base|0.0|0.34112903
Modelo 1: VGG Base|1.0|0.10742639
Modelo 1: VGG Base|0.0|0.68020666
Modelo 1: VGG Base|1.0|0.93512416
Modelo 1: VGG Base|0.0|0.7924743
Modelo 1: VGG Base|0.0|0.29888305
Modelo 1: VGG Base|1.0|0.28610873
Modelo 1: VGG Base|0.0|0.1592259
Modelo 1: VGG Base|1.0|0.6326762
Modelo 1: VGG Base|0.0|0.085731626
Modelo 1: VGG Base|0.0|0.12351091
Modelo 1: VGG Base|0.0|0.49245626
Modelo 1: VGG Base|0.0|0.17907053
Modelo 1: VGG Base|0.0|0.14139794
Modelo 1: VGG Base|1.0|0.34063366
Modelo 1: VGG Base|1.0|0.8518928
Modelo 1: VGG Base|1.0|0.779735
Modelo 1: VGG Base|0.0|0.18246333
Modelo 1: VGG Base|1.0|0.9152992
Modelo 1: VGG Base|0.0|0.32143772
Modelo 1: VGG Base|0.0|0.057729155
Modelo 1: VGG Base|0.0|0.18163013
Modelo 1: VGG Base|1.0|0.4019395
Modelo 1: VGG Base|1.0|0.726641
Modelo 1: VGG Base|1.0|0.9484369
Modelo 1: VGG Base|0.0|0.07099772
Modelo 1: VGG Base|1.0|0.7907755
Modelo 1: VGG Base|1.0|0.2542984
Modelo 1: VGG Base|0.0|0.52260035
Modelo 1: VGG Base|1.0|0.94674194
Modelo 1: VGG Base|0.0|0.099843696
Modelo 1: VGG Base|1.0|0.28245458
Modelo 1: VGG Base|0.0|0.33265266
Modelo 1: VGG Base|1.0|0.92292607
Modelo 1: VGG Base|0.0|0.39402485
Modelo 1: VGG Base|1.0|0.13227051
Modelo 1: VGG Base|1.0|0.9492916
Modelo 1: VGG Base|0.0|0.24652544
Modelo 1: VGG Base|0.0|0.3715381
Modelo 1: VGG Base|0.0|0.20024581
Modelo 1: VGG Base|0.0|0.18404275
Modelo 1: VGG Base|0.0|0.16900398
Modelo 1: VGG Base|1.0|0.5127127
Modelo 1: VGG Base|1.0|0.9722252
